City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,2.46,80,62,10.62,TF,1697958605
1,adamstown,-25.066,-130.1015,22.43,85,0,4.39,PN,1697958605
2,kariapatti,9.6751,78.0999,33.29,55,20,2.57,IN,1697958605
3,bodaybo,57.8506,114.1933,5.17,55,100,1.11,RU,1697958578
4,waitangi,-43.9535,-176.5597,9.22,66,100,10.64,NZ,1697958606
5,neryungri,56.6709,124.6491,-1.51,80,50,3.73,RU,1697958606
6,bredasdorp,-34.5322,20.0403,17.02,69,23,9.14,ZA,1697958606
7,weno,7.4515,151.8468,29.97,74,40,1.54,FM,1697958606
8,invercargill,-46.4,168.35,7.81,69,4,1.84,NZ,1697958607
9,hadibu,12.65,54.0333,25.73,91,100,14.99,YE,1697958607
10,margaret river,-33.95,115.0667,16.19,65,36,6.55,AU,1697958372
11,kodiak,57.79,-152.4072,0.73,75,0,2.57,US,1697958607
12,waingapu,-9.6567,120.2641,31.9,47,37,5.85,ID,1697958607
13,lukow,51.929,22.3796,11.07,88,100,5.19,PL,1697958608
14,edinburgh of the seven seas,-37.0676,-12.3116,13.57,89,15,7.86,SH,1697958608
15,yellowknife,62.456,-114.3525,-4.69,72,18,6.71,CA,1697958608
16,hithadhoo,-0.6,73.0833,27.44,77,57,7.09,MV,1697958608
17,saipan,15.1355,145.701,29.39,74,40,6.17,MP,1697958608
18,west island,-12.1568,96.8225,25.07,75,100,5.54,CC,1697958609
19,albany,42.6001,-73.9662,10.33,80,100,0.45,US,1697958506
20,wailua homesteads,22.0669,-159.378,25.24,88,75,2.06,US,1697958609
21,bilibino,68.0546,166.4372,-6.06,92,100,1.75,RU,1697958609
22,conduaga,8.862,117.4893,29.06,75,97,2.04,PH,1697958609
23,port mathurin,-19.6833,63.4167,24.68,81,0,4.17,MU,1697958610
24,igarka,67.4667,86.5833,-0.79,80,100,5.06,RU,1697958610
25,katabu,-4.9333,122.5167,32.78,47,39,1.88,ID,1697958610
26,ushuaia,-54.8,-68.3,1.32,97,72,2.63,AR,1697958610
27,bethel,41.3712,-73.414,13.05,74,40,3.6,US,1697958434
28,estrela,-28.0611,-50.9383,13.68,91,87,3.46,BR,1697958611
29,mount gambier,-37.8333,140.7667,13.34,56,37,5.9,AU,1697958332
30,argo,37.6333,22.7333,22.1,47,64,0.68,GR,1697958611
31,grytviken,-54.2811,-36.5092,0.44,82,100,4.17,GS,1697958611
32,thunder bay,48.4001,-89.3168,1.99,81,0,1.77,CA,1697958611
33,karimganj,24.8667,92.35,30.54,57,62,0.62,IN,1697958378
34,san patricio,28.017,-97.5169,26.92,81,100,3.48,US,1697958612
35,utrik,11.2278,169.8474,28.07,82,100,6.66,MH,1697958612
36,whitehorse,60.7161,-135.0538,-8.16,58,4,4.02,CA,1697958505
37,iqaluit,63.7506,-68.5145,-5.17,73,99,1.26,CA,1697958612
38,hamilton,39.1834,-84.5333,12.7,80,75,7.72,US,1697958270
39,maceio,-9.6658,-35.7353,22.69,100,75,2.06,BR,1697958397
40,cam ranh,11.9214,109.1591,29.98,66,75,6.17,VN,1697958613
41,tsiombe,-25.3,45.4833,33.39,31,0,4.11,MG,1697958613
42,olinda,-8.0089,-34.8553,25.85,78,75,4.12,BR,1697958613
43,nar'yan-mar,67.6713,53.087,0.04,80,90,9.34,RU,1697958613
44,punta arenas,-53.15,-70.9167,4.06,87,75,6.69,CL,1697958614
45,susuman,62.7833,148.1667,-8.97,95,100,1.71,RU,1697958614
46,stanley,54.868,-1.6985,2.62,95,100,0.51,GB,1697958614
47,yaren,-0.5472,166.916,28.87,78,87,5.3,NR,1697958614
48,kamaishi,39.2667,141.8833,12.73,57,8,4.21,JP,1697958614
49,prado,-17.3411,-39.2208,23.51,77,100,3.01,BR,1697958615
50,georgetown,5.4112,100.3354,31.12,70,20,5.14,MY,1697958615
51,tazacorte,28.629,-17.9293,20.54,68,20,1.54,ES,1697958615
52,sartana,47.1744,37.6927,12.34,81,100,7.0,UA,1697958615
53,papatowai,-46.5619,169.4708,7.33,70,7,2.36,NZ,1697958615
54,hawaiian paradise park,19.5933,-154.9731,23.73,91,100,2.57,US,1697958616
55,tiksi,71.6872,128.8694,-20.76,100,95,0.14,RU,1697958616
56,santana,-0.0583,-51.1817,27.1,89,20,2.57,BR,1697958616
57,wenxing,28.6667,112.8833,26.36,26,0,1.22,CN,1697958616
58,barra de santo antonio,-9.4047,-35.5072,22.6,85,24,3.11,BR,1697958617
59,lycksele,64.5954,18.6735,-16.07,85,100,1.54,SE,1697958617
60,mendi,-6.1761,143.6513,15.53,93,88,1.31,PG,1697958617
61,klyuchi,52.2667,79.1667,7.97,46,100,7.08,RU,1697958617
62,anadyr,64.75,177.4833,6.28,86,100,9.83,RU,1697958617
63,mwanza,-2.5167,32.9,26.46,53,39,3.07,TZ,1697958618
64,georgievka,49.3314,81.5761,11.59,72,100,6.98,KZ,1697958618
65,torpoint,50.3751,-4.1957,10.36,95,3,0.89,GB,1697958618
66,vila franca do campo,37.7167,-25.4333,17.23,99,100,7.49,PT,1697958618
67,makokou,0.5738,12.8642,22.61,95,100,1.38,GA,1697958618
68,papao,-17.75,-149.55,25.82,71,63,4.71,PF,1697958619
69,longyearbyen,78.2186,15.6401,-7.09,68,0,1.54,SJ,1697958619
70,ad dilam,23.9915,47.1627,32.23,21,0,3.02,SA,1697958619
71,san antonio de pale,-1.4014,5.6325,25.7,85,100,5.43,GQ,1697958619
72,rifle,39.5347,-107.7831,14.39,61,20,0.0,US,1697958620
73,guerrero negro,27.9769,-114.0611,20.18,89,0,3.2,MX,1697958620
74,pacific grove,36.6177,-121.9166,14.38,81,2,1.79,US,1697958620
75,tromso,69.6496,18.957,2.01,93,75,1.54,NO,1697958621
76,caleta de carquin,-11.0925,-77.6267,19.65,91,70,3.8,PE,1697958621
77,nemuro,43.3236,145.575,10.7,57,100,9.71,JP,1697958621
78,keflavik,64.0049,-22.5624,5.24,87,75,2.57,IS,1697958621
79,terenozek,45.05,64.9833,14.81,50,100,12.07,KZ,1697958621
80,puerto natales,-51.7236,-72.4875,1.64,94,88,2.3,CL,1697958622
81,tinajo,29.0788,-13.7081,21.49,78,20,4.63,ES,1697958622
82,aasiaat,68.7098,-52.8699,-7.97,89,96,1.93,GL,1697958622
83,boa vista,2.8197,-60.6733,22.99,94,100,2.06,BR,1697958622
84,malanje,-9.5402,16.341,22.09,75,96,1.12,AO,1697958623
85,north bend,43.4065,-124.2243,15.48,94,100,0.0,US,1697958212
86,pangody,65.85,74.4859,-1.99,84,100,9.78,RU,1697958623
87,chulakkurgan,43.765,69.1814,16.2,48,100,12.63,KZ,1697958623
